;T;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t
26;225;-1815795.948;-1815795.948;-1815795.948;-1815795.948;-1815795.948;-1815795.948;-1815795.948;-1815795.948;-1815795.948;-1815795.948;-1815795.948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;230;-1815798.202;-1815798.202;-1815798.202;-1815798.202;-1815798.202;-1815798.202;-1815798.202;-1815798.202;-1815798.202;-1815798.202;-1815798.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;235;-1815800.475;-1815800.475;-1815800.475;-1815800.475;-1815800.475;-1815800.475;-1815800.475;-1815800.475;-1815800.475;-1815800.475;-1815800.475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;240;-1815802.767;-1815802.767;-1815802.767;-1815802.767;-1815802.767;-1815802.767;-1815802.767;-1815802.767;-1815802.767;-1815802.767;-1815802.767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;245;-1815805.079;-1815805.079;-1815805.079;-1815805.079;-1815805.079;-1815805.079;-1815805.079;-1815805.079;-1815805.079;-1815805.079;-1815805.079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;250;-1815807.409;-1815807.409;-1815807.409;-1815807.409;-1815807.409;-1815807.409;-1815807.409;-1815807.409;-1815807.409;-1815807.409;-1815807.409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;255;-1815809.759;-1815809.759;-1815809.759;-1815809.759;-1815809.759;-1815809.759;-1815809.759;-1815809.759;-1815809.759;-1815809.759;-1815809.759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;260;-1815812.127;-1815812.127;-1815812.127;-1815812.127;-1815812.127;-1815812.127;-1815812.127;-1815812.127;-1815812.127;-1815812.127;-1815812.127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;265;-1815814.515;-1815814.515;-1815814.515;-1815814.515;-1815814.515;-1815814.515;-1815814.515;-1815814.515;-1815814.515;-1815814.515;-1815814.515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;270;-1815816.922;-1815816.922;-1815816.922;-1815816.922;-1815816.922;-1815816.922;-1815816.922;-1815816.922;-1815816.922;-1815816.922;-1815816.922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;275;-1815819.348;-1815819.348;-1815819.348;-1815819.348;-1815819.348;-1815819.348;-1815819.348;-1815819.348;-1815819.348;-1815819.348;-1815819.348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;280;-1815821.793;-1815821.793;-1815821.793;-1815821.793;-1815821.793;-1815821.793;-1815821.793;-1815821.793;-1815821.793;-1815821.793;-1815821.793;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;285;-1815824.258;-1815824.258;-1815824.258;-1815824.258;-1815824.258;-1815824.258;-1815824.258;-1815824.258;-1815824.258;-1815824.258;-1815824.258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;290;-1815826.741;-1815826.741;-1815826.741;-1815826.741;-1815826.741;-1815826.741;-1815826.741;-1815826.741;-1815826.741;-1815826.741;-1815826.741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;295;-1815829.244;-1815829.244;-1815829.244;-1815829.244;-1815829.244;-1815829.244;-1815829.244;-1815829.244;-1815829.244;-1815829.244;-1815829.244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;300;-1815831.765;-1815831.765;-1815831.765;-1815831.765;-1815831.765;-1815831.765;-1815831.765;-1815831.765;-1815831.765;-1815831.765;-1815831.765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;305;-1815834.306;-1815834.306;-1815834.306;-1815834.306;-1815834.306;-1815834.306;-1815834.306;-1815834.306;-1815834.306;-1815834.306;-1815834.306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;310;-1815836.866;-1815836.866;-1815836.866;-1815836.866;-1815836.866;-1815836.866;-1815836.866;-1815836.866;-1815836.866;-1815836.866;-1815836.866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;315;-1815839.445;-1815839.445;-1815839.445;-1815839.445;-1815839.445;-1815839.445;-1815839.445;-1815839.445;-1815839.445;-1815839.445;-1815839.445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;320;-1815842.044;-1815842.044;-1815842.044;-1815842.044;-1815842.044;-1815842.044;-1815842.044;-1815842.044;-1815842.044;-1815842.044;-1815842.044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;325;-1815844.661;-1815844.661;-1815844.661;-1815844.661;-1815844.661;-1815844.661;-1815844.661;-1815844.661;-1815844.661;-1815844.661;-1815844.661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;330;-1815847.298;-1815847.298;-1815847.298;-1815847.298;-1815847.298;-1815847.298;-1815847.298;-1815847.298;-1815847.298;-1815847.298;-1815847.298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;335;-1815849.953;-1815849.953;-1815849.953;-1815849.953;-1815849.953;-1815849.953;-1815849.953;-1815849.953;-1815849.953;-1815849.953;-1815849.953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;340;-1815852.628;-1815852.628;-1815852.628;-1815852.628;-1815852.628;-1815852.628;-1815852.628;-1815852.628;-1815852.628;-1815852.628;-1815852.628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;345;-1815855.322;-1815855.322;-1815855.322;-1815855.322;-1815855.322;-1815855.322;-1815855.322;-1815855.322;-1815855.322;-1815855.322;-1815855.322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;350;-1815858.036;-1815858.036;-1815858.036;-1815858.036;-1815858.036;-1815858.036;-1815858.036;-1815858.036;-1815858.036;-1815858.036;-1815858.036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;355;-1815860.768;-1815860.768;-1815860.768;-1815860.768;-1815860.768;-1815860.768;-1815860.768;-1815860.768;-1815860.768;-1815860.768;-1815860.768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;360;-1815863.519;-1815863.519;-1815863.519;-1815863.519;-1815863.519;-1815863.519;-1815863.519;-1815863.519;-1815863.519;-1815863.519;-1815863.519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;365;-1815866.29;-1815866.29;-1815866.29;-1815866.29;-1815866.29;-1815866.29;-1815866.29;-1815866.29;-1815866.29;-1815866.29;-1815866.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;370;-1815869.08;-1815869.08;-1815869.08;-1815869.08;-1815869.08;-1815869.08;-1815869.08;-1815869.08;-1815869.08;-1815869.08;-1815869.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;375;-1815871.889;-1815871.889;-1815871.889;-1815871.889;-1815871.889;-1815871.889;-1815871.889;-1815871.889;-1815871.889;-1815871.889;-1815871.889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;380;-1815874.716;-1815874.716;-1815874.716;-1815874.716;-1815874.716;-1815874.716;-1815874.716;-1815874.716;-1815874.716;-1815874.716;-1815874.716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;385;-1815877.564;-1815877.564;-1815877.564;-1815877.564;-1815877.564;-1815877.564;-1815877.564;-1815877.564;-1815877.564;-1815877.564;-1815877.564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
