;T;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t;;;101_t;104_t;118_t;12_t;1_t;34_t;38_t;52_t;60_t;62_t;96_t
108;635;-1816043.64;-1816043.64;-1816043.64;-1816043.64;-1816043.64;-1816043.64;-1816043.64;-1816043.64;-1816043.64;-1816043.64;-1816043.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;640;-1816047.419;-1816047.419;-1816047.419;-1816047.419;-1816047.419;-1816047.419;-1816047.419;-1816047.419;-1816047.419;-1816047.419;-1816047.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;645;-1816051.215;-1816051.215;-1816051.215;-1816051.215;-1816051.215;-1816051.215;-1816051.215;-1816051.215;-1816051.215;-1816051.215;-1816051.215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;650;-1816055.028;-1816055.028;-1816055.028;-1816055.028;-1816055.028;-1816055.028;-1816055.028;-1816055.028;-1816055.028;-1816055.028;-1816055.028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;655;-1816058.858;-1816058.858;-1816058.858;-1816058.858;-1816058.858;-1816058.858;-1816058.858;-1816058.858;-1816058.858;-1816058.858;-1816058.858;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;660;-1816062.705;-1816062.705;-1816062.705;-1816062.705;-1816062.705;-1816062.705;-1816062.705;-1816062.705;-1816062.705;-1816062.705;-1816062.705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;665;-1816066.569;-1816066.569;-1816066.569;-1816066.569;-1816066.569;-1816066.569;-1816066.569;-1816066.569;-1816066.569;-1816066.569;-1816066.569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;670;-1816070.449;-1816070.449;-1816070.449;-1816070.449;-1816070.449;-1816070.449;-1816070.449;-1816070.449;-1816070.449;-1816070.449;-1816070.449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;675;-1816074.347;-1816074.347;-1816074.347;-1816074.347;-1816074.347;-1816074.347;-1816074.347;-1816074.347;-1816074.347;-1816074.347;-1816074.347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;680;-1816078.262;-1816078.262;-1816078.262;-1816078.262;-1816078.262;-1816078.262;-1816078.262;-1816078.262;-1816078.262;-1816078.262;-1816078.262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;685;-1816082.193;-1816082.193;-1816082.193;-1816082.193;-1816082.193;-1816082.193;-1816082.193;-1816082.193;-1816082.193;-1816082.193;-1816082.193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;690;-1816086.141;-1816086.141;-1816086.141;-1816086.141;-1816086.141;-1816086.141;-1816086.141;-1816086.141;-1816086.141;-1816086.141;-1816086.141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;695;-1816090.105;-1816090.105;-1816090.105;-1816090.105;-1816090.105;-1816090.105;-1816090.105;-1816090.105;-1816090.105;-1816090.105;-1816090.105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;700;-1816094.086;-1816094.086;-1816094.086;-1816094.086;-1816094.086;-1816094.086;-1816094.086;-1816094.086;-1816094.086;-1816094.086;-1816094.086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;705;-1816098.084;-1816098.084;-1816098.084;-1816098.084;-1816098.084;-1816098.084;-1816098.084;-1816098.084;-1816098.084;-1816098.084;-1816098.084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;710;-1816102.098;-1816102.098;-1816102.098;-1816102.098;-1816102.098;-1816102.098;-1816102.098;-1816102.098;-1816102.098;-1816102.098;-1816102.098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;715;-1816106.129;-1816106.129;-1816106.129;-1816106.129;-1816106.129;-1816106.129;-1816106.129;-1816106.129;-1816106.129;-1816106.129;-1816106.129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;720;-1816110.175;-1816110.175;-1816110.175;-1816110.175;-1816110.175;-1816110.175;-1816110.175;-1816110.175;-1816110.175;-1816110.175;-1816110.175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;725;-1816114.239;-1816114.239;-1816114.239;-1816114.239;-1816114.239;-1816114.239;-1816114.239;-1816114.239;-1816114.239;-1816114.239;-1816114.239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;730;-1816118.318;-1816118.318;-1816118.318;-1816118.318;-1816118.318;-1816118.318;-1816118.318;-1816118.318;-1816118.318;-1816118.318;-1816118.318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;735;-1816122.414;-1816122.414;-1816122.414;-1816122.414;-1816122.414;-1816122.414;-1816122.414;-1816122.414;-1816122.414;-1816122.414;-1816122.414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;740;-1816126.526;-1816126.526;-1816126.526;-1816126.526;-1816126.526;-1816126.526;-1816126.526;-1816126.526;-1816126.526;-1816126.526;-1816126.526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;745;-1816130.654;-1816130.654;-1816130.654;-1816130.654;-1816130.654;-1816130.654;-1816130.654;-1816130.654;-1816130.654;-1816130.654;-1816130.654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;750;-1816134.798;-1816134.798;-1816134.798;-1816134.798;-1816134.798;-1816134.798;-1816134.798;-1816134.798;-1816134.798;-1816134.798;-1816134.798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;755;-1816138.958;-1816138.958;-1816138.958;-1816138.958;-1816138.958;-1816138.958;-1816138.958;-1816138.958;-1816138.958;-1816138.958;-1816138.958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;760;-1816143.134;-1816143.134;-1816143.134;-1816143.134;-1816143.134;-1816143.134;-1816143.134;-1816143.134;-1816143.134;-1816143.134;-1816143.134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;765;-1816147.326;-1816147.326;-1816147.326;-1816147.326;-1816147.326;-1816147.326;-1816147.326;-1816147.326;-1816147.326;-1816147.326;-1816147.326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;770;-1816151.534;-1816151.534;-1816151.534;-1816151.534;-1816151.534;-1816151.534;-1816151.534;-1816151.534;-1816151.534;-1816151.534;-1816151.534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;775;-1816155.758;-1816155.758;-1816155.758;-1816155.758;-1816155.758;-1816155.758;-1816155.758;-1816155.758;-1816155.758;-1816155.758;-1816155.758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;780;-1816159.998;-1816159.998;-1816159.998;-1816159.998;-1816159.998;-1816159.998;-1816159.998;-1816159.998;-1816159.998;-1816159.998;-1816159.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;785;-1816164.253;-1816164.253;-1816164.253;-1816164.253;-1816164.253;-1816164.253;-1816164.253;-1816164.253;-1816164.253;-1816164.253;-1816164.253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;790;-1816168.524;-1816168.524;-1816168.524;-1816168.524;-1816168.524;-1816168.524;-1816168.524;-1816168.524;-1816168.524;-1816168.524;-1816168.524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;795;-1816172.811;-1816172.811;-1816172.811;-1816172.811;-1816172.811;-1816172.811;-1816172.811;-1816172.811;-1816172.811;-1816172.811;-1816172.811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;800;-1816177.113;-1816177.113;-1816177.113;-1816177.113;-1816177.113;-1816177.113;-1816177.113;-1816177.113;-1816177.113;-1816177.113;-1816177.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;805;-1816181.431;-1816181.431;-1816181.431;-1816181.431;-1816181.431;-1816181.431;-1816181.431;-1816181.431;-1816181.431;-1816181.431;-1816181.431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;810;-1816185.764;-1816185.764;-1816185.764;-1816185.764;-1816185.764;-1816185.764;-1816185.764;-1816185.764;-1816185.764;-1816185.764;-1816185.764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;815;-1816190.113;-1816190.113;-1816190.113;-1816190.113;-1816190.113;-1816190.113;-1816190.113;-1816190.113;-1816190.113;-1816190.113;-1816190.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;820;-1816194.477;-1816194.477;-1816194.477;-1816194.477;-1816194.477;-1816194.477;-1816194.477;-1816194.477;-1816194.477;-1816194.477;-1816194.477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;825;-1816198.857;-1816198.857;-1816198.857;-1816198.857;-1816198.857;-1816198.857;-1816198.857;-1816198.857;-1816198.857;-1816198.857;-1816198.857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;830;-1816203.251;-1816203.251;-1816203.251;-1816203.251;-1816203.251;-1816203.251;-1816203.251;-1816203.251;-1816203.251;-1816203.251;-1816203.251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;835;-1816207.662;-1816207.662;-1816207.662;-1816207.662;-1816207.662;-1816207.662;-1816207.662;-1816207.662;-1816207.662;-1816207.662;-1816207.662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;840;-1816212.087;-1816212.087;-1816212.087;-1816212.087;-1816212.087;-1816212.087;-1816212.087;-1816212.087;-1816212.087;-1816212.087;-1816212.087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;845;-1816216.527;-1816216.527;-1816216.527;-1816216.527;-1816216.527;-1816216.527;-1816216.527;-1816216.527;-1816216.527;-1816216.527;-1816216.527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;850;-1816220.983;-1816220.983;-1816220.983;-1816220.983;-1816220.983;-1816220.983;-1816220.983;-1816220.983;-1816220.983;-1816220.983;-1816220.983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;855;-1816225.453;-1816225.453;-1816225.453;-1816225.453;-1816225.453;-1816225.453;-1816225.453;-1816225.453;-1816225.453;-1816225.453;-1816225.453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;860;-1816229.939;-1816229.939;-1816229.939;-1816229.939;-1816229.939;-1816229.939;-1816229.939;-1816229.939;-1816229.939;-1816229.939;-1816229.939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;865;-1816234.44;-1816234.44;-1816234.44;-1816234.44;-1816234.44;-1816234.44;-1816234.44;-1816234.44;-1816234.44;-1816234.44;-1816234.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;870;-1816238.955;-1816238.955;-1816238.955;-1816238.955;-1816238.955;-1816238.955;-1816238.955;-1816238.955;-1816238.955;-1816238.955;-1816238.955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;875;-1816243.486;-1816243.486;-1816243.486;-1816243.486;-1816243.486;-1816243.486;-1816243.486;-1816243.486;-1816243.486;-1816243.486;-1816243.486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;880;-1816248.031;-1816248.031;-1816248.031;-1816248.031;-1816248.031;-1816248.031;-1816248.031;-1816248.031;-1816248.031;-1816248.031;-1816248.031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;885;-1816252.591;-1816252.591;-1816252.591;-1816252.591;-1816252.591;-1816252.591;-1816252.591;-1816252.591;-1816252.591;-1816252.591;-1816252.591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;890;-1816257.166;-1816257.166;-1816257.166;-1816257.166;-1816257.166;-1816257.166;-1816257.166;-1816257.166;-1816257.166;-1816257.166;-1816257.166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;895;-1816261.756;-1816261.756;-1816261.756;-1816261.756;-1816261.756;-1816261.756;-1816261.756;-1816261.756;-1816261.756;-1816261.756;-1816261.756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;900;-1816266.36;-1816266.36;-1816266.36;-1816266.36;-1816266.36;-1816266.36;-1816266.36;-1816266.36;-1816266.36;-1816266.36;-1816266.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;905;-1816270.979;-1816270.979;-1816270.979;-1816270.979;-1816270.979;-1816270.979;-1816270.979;-1816270.979;-1816270.979;-1816270.979;-1816270.979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;910;-1816275.612;-1816275.612;-1816275.612;-1816275.612;-1816275.612;-1816275.612;-1816275.612;-1816275.612;-1816275.612;-1816275.612;-1816275.612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;915;-1816280.26;-1816280.26;-1816280.26;-1816280.26;-1816280.26;-1816280.26;-1816280.26;-1816280.26;-1816280.26;-1816280.26;-1816280.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;920;-1816284.922;-1816284.922;-1816284.922;-1816284.922;-1816284.922;-1816284.922;-1816284.922;-1816284.922;-1816284.922;-1816284.922;-1816284.922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;925;-1816289.599;-1816289.599;-1816289.599;-1816289.599;-1816289.599;-1816289.599;-1816289.599;-1816289.599;-1816289.599;-1816289.599;-1816289.599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;930;-1816294.291;-1816294.291;-1816294.291;-1816294.291;-1816294.291;-1816294.291;-1816294.291;-1816294.291;-1816294.291;-1816294.291;-1816294.291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;935;-1816298.996;-1816298.996;-1816298.996;-1816298.996;-1816298.996;-1816298.996;-1816298.996;-1816298.996;-1816298.996;-1816298.996;-1816298.996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;940;-1816303.716;-1816303.716;-1816303.716;-1816303.716;-1816303.716;-1816303.716;-1816303.716;-1816303.716;-1816303.716;-1816303.716;-1816303.716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;945;-1816308.45;-1816308.45;-1816308.45;-1816308.45;-1816308.45;-1816308.45;-1816308.45;-1816308.45;-1816308.45;-1816308.45;-1816308.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;950;-1816313.199;-1816313.199;-1816313.199;-1816313.199;-1816313.199;-1816313.199;-1816313.199;-1816313.199;-1816313.199;-1816313.199;-1816313.199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;955;-1816317.961;-1816317.961;-1816317.961;-1816317.961;-1816317.961;-1816317.961;-1816317.961;-1816317.961;-1816317.961;-1816317.961;-1816317.961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;960;-1816322.738;-1816322.738;-1816322.738;-1816322.738;-1816322.738;-1816322.738;-1816322.738;-1816322.738;-1816322.738;-1816322.738;-1816322.738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;965;-1816327.529;-1816327.529;-1816327.529;-1816327.529;-1816327.529;-1816327.529;-1816327.529;-1816327.529;-1816327.529;-1816327.529;-1816327.529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;970;-1816332.334;-1816332.334;-1816332.334;-1816332.334;-1816332.334;-1816332.334;-1816332.334;-1816332.334;-1816332.334;-1816332.334;-1816332.334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;975;-1816337.153;-1816337.153;-1816337.153;-1816337.153;-1816337.153;-1816337.153;-1816337.153;-1816337.153;-1816337.153;-1816337.153;-1816337.153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;980;-1816341.985;-1816341.985;-1816341.985;-1816341.985;-1816341.985;-1816341.985;-1816341.985;-1816341.985;-1816341.985;-1816341.985;-1816341.985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;985;-1816346.832;-1816346.832;-1816346.832;-1816346.832;-1816346.832;-1816346.832;-1816346.832;-1816346.832;-1816346.832;-1816346.832;-1816346.832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;990;-1816351.693;-1816351.693;-1816351.693;-1816351.693;-1816351.693;-1816351.693;-1816351.693;-1816351.693;-1816351.693;-1816351.693;-1816351.693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;995;-1816356.567;-1816356.567;-1816356.567;-1816356.567;-1816356.567;-1816356.567;-1816356.567;-1816356.567;-1816356.567;-1816356.567;-1816356.567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;1000;-1816361.456;-1816361.456;-1816361.456;-1816361.456;-1816361.456;-1816361.456;-1816361.456;-1816361.456;-1816361.456;-1816361.456;-1816361.456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
