,T,101_t,104_t,118_t,12_t,1_t,34_t,38_t,52_t,60_t,62_t,96_t
165,920.00,-1816284.922,-1816271.804,-1816293.487,-1816275.763,-1816277.024,-1816280.813,-1816277.653,-1816279.050,-1816300.754,-1816285.197,-1816283.868
166,925.00,-1816289.599,-1816276.438,-1816298.114,-1816280.429,-1816281.592,-1816285.496,-1816282.299,-1816283.721,-1816305.425,-1816289.876,-1816288.541
167,930.00,-1816294.291,-1816281.088,-1816302.756,-1816285.110,-1816286.174,-1816290.193,-1816286.959,-1816288.406,-1816310.110,-1816294.569,-1816293.228
168,935.00,-1816298.996,-1816285.751,-1816307.411,-1816289.805,-1816290.770,-1816294.904,-1816291.633,-1816293.105,-1816314.810,-1816299.277,-1816297.929
169,940.00,-1816303.716,-1816290.429,-1816312.081,-1816294.515,-1816295.381,-1816299.630,-1816296.322,-1816297.819,-1816319.523,-1816303.998,-1816302.645
170,945.00,-1816308.450,-1816295.121,-1816316.766,-1816299.238,-1816300.006,-1816304.370,-1816301.025,-1816302.547,-1816324.251,-1816308.734,-1816307.375
171,950.00,-1816313.199,-1816299.828,-1816321.464,-1816303.976,-1816304.645,-1816309.124,-1816305.742,-1816307.289,-1816328.994,-1816313.485,-1816312.119
172,955.00,-1816317.961,-1816304.548,-1816326.177,-1816308.728,-1816309.299,-1816313.893,-1816310.474,-1816312.045,-1816333.750,-1816318.249,-1816316.877
173,960.00,-1816322.738,-1816309.283,-1816330.903,-1816313.494,-1816313.966,-1816318.675,-1816315.219,-1816316.816,-1816338.520,-1816323.028,-1816321.649
174,965.00,-1816327.529,-1816314.032,-1816335.644,-1816318.275,-1816318.648,-1816323.472,-1816319.979,-1816321.600,-1816343.305,-1816327.820,-1816326.436
175,970.00,-1816332.334,-1816318.795,-1816340.399,-1816323.069,-1816323.344,-1816328.283,-1816324.752,-1816326.399,-1816348.104,-1816332.627,-1816331.236
176,975.00,-1816337.153,-1816323.572,-1816345.168,-1816327.877,-1816328.053,-1816333.107,-1816329.540,-1816331.212,-1816352.916,-1816337.447,-1816336.051
177,980.00,-1816341.985,-1816328.362,-1816349.951,-1816332.700,-1816332.777,-1816337.946,-1816334.342,-1816336.038,-1816357.743,-1816342.282,-1816340.879
178,985.00,-1816346.832,-1816333.167,-1816354.747,-1816337.536,-1816337.515,-1816342.798,-1816339.157,-1816340.879,-1816362.583,-1816347.131,-1816345.722
179,990.00,-1816351.693,-1816337.986,-1816359.558,-1816342.386,-1816342.266,-1816347.665,-1816343.987,-1816345.733,-1816367.437,-1816351.993,-1816350.578
180,995.00,-1816356.567,-1816342.818,-1816364.382,-1816347.250,-1816347.031,-1816352.545,-1816348.830,-1816350.601,-1816372.305,-1816356.869,-1816355.448
181,1000.00,-1816361.456,-1816347.664,-1816369.221,-1816352.128,-1816351.810,-1816357.439,-1816353.687,-1816355.483,-1816377.187,-1816361.759,-1816360.332
