,T,101_t,104_t,118_t,12_t,1_t,34_t,38_t,52_t,60_t,62_t,96_t
38,285.00,-1815824.258,-1815816.464,-1815838.819,-1815816.349,-1815829.967,-1815819.336,-1815820.935,-1815819.119,-1815840.581,-1815824.183,-1815823.713
39,290.00,-1815826.741,-1815818.907,-1815841.260,-1815818.824,-1815832.347,-1815821.827,-1815823.388,-1815821.598,-1815843.064,-1815826.670,-1815826.194
40,295.00,-1815829.244,-1815821.368,-1815843.720,-1815821.318,-1815834.747,-1815824.337,-1815825.860,-1815824.095,-1815845.566,-1815829.177,-1815828.693
41,300.00,-1815831.765,-1815823.848,-1815846.199,-1815823.832,-1815837.165,-1815826.866,-1815828.351,-1815826.612,-1815848.087,-1815831.702,-1815831.212
42,305.00,-1815834.306,-1815826.348,-1815848.698,-1815826.364,-1815839.602,-1815829.414,-1815830.861,-1815829.147,-1815850.627,-1815834.247,-1815833.749
43,310.00,-1815836.866,-1815828.867,-1815851.215,-1815828.915,-1815842.059,-1815831.981,-1815833.391,-1815831.702,-1815853.186,-1815836.811,-1815836.306
44,315.00,-1815839.445,-1815831.404,-1815853.752,-1815831.486,-1815844.534,-1815834.567,-1815835.939,-1815834.276,-1815855.764,-1815839.394,-1815838.882
45,320.00,-1815842.044,-1815833.961,-1815856.307,-1815834.075,-1815847.029,-1815837.172,-1815838.507,-1815836.869,-1815858.362,-1815841.996,-1815841.477
46,325.00,-1815844.661,-1815836.537,-1815858.881,-1815836.684,-1815849.542,-1815839.797,-1815841.093,-1815839.481,-1815860.978,-1815844.617,-1815844.091
47,330.00,-1815847.298,-1815839.132,-1815861.475,-1815839.312,-1815852.075,-1815842.440,-1815843.699,-1815842.112,-1815863.614,-1815847.258,-1815846.724
48,335.00,-1815849.953,-1815841.746,-1815864.088,-1815841.959,-1815854.627,-1815845.103,-1815846.324,-1815844.763,-1815866.269,-1815849.917,-1815849.376
49,340.00,-1815852.628,-1815844.379,-1815866.719,-1815844.625,-1815857.197,-1815847.785,-1815848.968,-1815847.432,-1815868.943,-1815852.596,-1815852.048
50,345.00,-1815855.322,-1815847.032,-1815869.370,-1815847.310,-1815859.787,-1815850.486,-1815851.631,-1815850.121,-1815871.636,-1815855.293,-1815854.738
51,350.00,-1815858.036,-1815849.703,-1815872.039,-1815850.014,-1815862.396,-1815853.206,-1815854.314,-1815852.829,-1815874.348,-1815858.010,-1815857.448
52,355.00,-1815860.768,-1815852.394,-1815874.728,-1815852.737,-1815865.023,-1815855.946,-1815857.015,-1815855.556,-1815877.079,-1815860.746,-1815860.177
53,360.00,-1815863.519,-1815855.103,-1815877.436,-1815855.480,-1815867.670,-1815858.704,-1815859.736,-1815858.302,-1815879.829,-1815863.502,-1815862.925
54,365.00,-1815866.290,-1815857.832,-1815880.163,-1815858.241,-1815870.336,-1815861.481,-1815862.475,-1815861.067,-1815882.598,-1815866.276,-1815865.692
55,370.00,-1815869.080,-1815860.580,-1815882.908,-1815861.022,-1815873.021,-1815864.278,-1815865.234,-1815863.852,-1815885.387,-1815869.069,-1815868.478
56,375.00,-1815871.889,-1815863.347,-1815885.673,-1815863.822,-1815875.725,-1815867.094,-1815868.012,-1815866.655,-1815888.194,-1815871.882,-1815871.283
57,380.00,-1815874.716,-1815866.133,-1815888.457,-1815866.640,-1815878.448,-1815869.928,-1815870.809,-1815869.477,-1815891.020,-1815874.713,-1815874.108
58,385.00,-1815877.564,-1815868.938,-1815891.259,-1815869.478,-1815881.190,-1815872.782,-1815873.625,-1815872.319,-1815893.866,-1815877.564,-1815876.951
59,390.00,-1815880.430,-1815871.763,-1815894.081,-1815872.335,-1815883.951,-1815875.655,-1815876.460,-1815875.180,-1815896.730,-1815880.433,-1815879.813
60,395.00,-1815883.315,-1815874.606,-1815896.922,-1815875.211,-1815886.730,-1815878.547,-1815879.314,-1815878.059,-1815899.614,-1815883.322,-1815882.695
