      T          Cv          Cp        S         G(T)      H(T)-H(0)    H(T)
    100.00     83.336     91.651    328.431 -1815755.382   6481.269 -1815722.539 
    105.00     85.939     94.254    332.966 -1815757.036   6946.011 -1815722.074 
    110.00     88.588     96.903    337.411 -1815758.712   7423.883 -1815721.597 
    115.00     91.284     99.599    341.778 -1815760.410   7915.117 -1815721.105 
    120.00     94.029    102.343    346.075 -1815762.129   8419.953 -1815720.600 
    125.00     96.822    105.137    350.309 -1815763.870   8938.633 -1815720.082 
    130.00     99.665    107.979    354.488 -1815765.632   9471.402 -1815719.549 
    135.00    102.556    110.871    358.617 -1815767.415  10018.506 -1815719.002 
    140.00    105.497    113.811    362.702 -1815769.219  10580.191 -1815718.440 
    145.00    108.486    116.801    366.748 -1815771.042  11156.701 -1815717.864 
    150.00    111.524    119.839    370.759 -1815772.886  11748.279 -1815717.272 
    155.00    114.611    122.925    374.739 -1815774.750  12355.170 -1815716.665 
    160.00    117.745    126.059    378.691 -1815776.633  12977.611 -1815716.043 
    165.00    120.927    129.241    382.618 -1815778.537  13615.843 -1815715.405 
    170.00    124.155    132.469    386.524 -1815780.459  14270.100 -1815714.750 
    175.00    127.429    135.744    390.411 -1815782.402  14940.614 -1815714.080 
    180.00    130.749    139.064    394.282 -1815784.364  15627.615 -1815713.393 
    185.00    134.113    142.428    398.138 -1815786.345  16331.325 -1815712.689 
    190.00    137.520    145.835    401.981 -1815788.345  17051.963 -1815711.968 
    195.00    140.970    149.284    405.814 -1815790.364  17789.743 -1815711.231 
    200.00    144.460    152.774    409.637 -1815792.403  18544.872 -1815710.476 
    205.00    147.989    156.303    413.453 -1815794.461  19317.548 -1815709.703 
    210.00    151.555    159.870    417.262 -1815796.538  20107.965 -1815708.912 
    215.00    155.158    163.472    421.066 -1815798.633  20916.305 -1815708.104 
    220.00    158.794    167.109    424.866 -1815800.748  21742.744 -1815707.278 
    225.00    162.463    170.777    428.662 -1815802.882  22587.447 -1815706.433 
    230.00    166.162    174.476    432.456 -1815805.035  23450.569 -1815705.570 
    235.00    169.888    178.203    436.249 -1815807.207  24332.255 -1815704.688 
    240.00    173.641    181.955    440.040 -1815809.397  25232.641 -1815703.788 
    245.00    177.417    185.732    443.830 -1815811.607  26151.849 -1815702.869 
    250.00    181.215    189.529    447.621 -1815813.836  27089.992 -1815701.930 
    255.00    185.031    193.346    451.412 -1815816.083  28047.171 -1815700.973 
    260.00    188.865    197.179    455.203 -1815818.350  29023.477 -1815699.997 
    265.00    192.712    201.027    458.995 -1815820.635  30018.986 -1815699.001 
    270.00    196.573    204.887    462.789 -1815822.940  31033.766 -1815697.987 
    275.00    200.442    208.757    466.584 -1815825.263  32067.872 -1815696.953 
    280.00    204.320    212.634    470.380 -1815827.606  33121.348 -1815695.899 
    285.00    208.203    216.517    474.178 -1815829.967  34194.226 -1815694.826 
    290.00    212.089    220.404    477.977 -1815832.347  35286.528 -1815693.734 
    295.00    215.977    224.291    481.778 -1815834.747  36398.265 -1815692.622 
    300.00    219.863    228.177    485.580 -1815837.165  37529.437 -1815691.491 
    305.00    223.746    232.061    489.384 -1815839.602  38680.033 -1815690.340 
    310.00    227.624    235.939    493.189 -1815842.059  39850.034 -1815689.170 
    315.00    231.496    239.810    496.995 -1815844.534  41039.410 -1815687.981 
    320.00    235.358    243.673    500.802 -1815847.029  42248.122 -1815686.772 
    325.00    239.211    247.525    504.610 -1815849.542  43476.122 -1815685.544 
    330.00    243.051    251.365    508.418 -1815852.075  44723.352 -1815684.297 
    335.00    246.877    255.191    512.227 -1815854.627  45989.748 -1815683.031 
    340.00    250.688    259.002    516.036 -1815857.197  47275.238 -1815681.745 
    345.00    254.482    262.796    519.844 -1815859.787  48579.740 -1815680.441 
    350.00    258.258    266.572    523.653 -1815862.396  49903.169 -1815679.117 
    355.00    262.014    270.329    527.461 -1815865.023  51245.429 -1815677.775 
    360.00    265.750    274.064    531.267 -1815867.670  52606.420 -1815676.414 
    365.00    269.464    277.779    535.073 -1815870.336  53986.037 -1815675.034 
    370.00    273.155    281.470    538.878 -1815873.021  55384.167 -1815673.636 
    375.00    276.823    285.137    542.681 -1815875.725  56800.694 -1815672.220 
    380.00    280.465    288.780    546.481 -1815878.448  58235.497 -1815670.785 
    385.00    284.082    292.397    550.280 -1815881.190  59688.448 -1815669.332 
    390.00    287.673    295.987    554.076 -1815883.951  61159.418 -1815667.861 
    395.00    291.236    299.550    557.869 -1815886.730  62648.273 -1815666.372 
    400.00    294.772    303.086    561.659 -1815889.529  64154.876 -1815664.866 
    405.00    298.279    306.593    565.446 -1815892.347  65679.087 -1815663.341 
    410.00    301.757    310.072    569.230 -1815895.184  67220.761 -1815661.800 
    415.00    305.206    313.521    573.009 -1815898.039  68779.754 -1815660.241 
    420.00    308.625    316.940    576.784 -1815900.914  70355.918 -1815658.664 
    425.00    312.014    320.329    580.555 -1815903.807  71949.103 -1815657.071 
    430.00    315.373    323.687    584.321 -1815906.719  73559.156 -1815655.461 
    435.00    318.701    327.015    588.083 -1815909.650  75185.926 -1815653.834 
    440.00    321.998    330.312    591.839 -1815912.600  76829.259 -1815652.191 
    445.00    325.264    333.578    595.590 -1815915.569  78488.998 -1815650.531 
    450.00    328.498    336.813    599.335 -1815918.556  80164.988 -1815648.855 
    455.00    331.701    340.016    603.074 -1815921.562  81857.072 -1815647.163 
    460.00    334.873    343.188    606.808 -1815924.587  83565.094 -1815645.455 
    465.00    338.014    346.328    610.535 -1815927.630  85288.896 -1815643.732 
    470.00    341.123    349.437    614.255 -1815930.692  87028.322 -1815641.992 
    475.00    344.200    352.514    617.970 -1815933.773  88783.214 -1815640.237 
    480.00    347.246    355.561    621.677 -1815936.872  90553.415 -1815638.467 
    485.00    350.261    358.576    625.377 -1815939.989  92338.769 -1815636.682 
    490.00    353.245    361.560    629.070 -1815943.126  94139.119 -1815634.881 
    495.00    356.198    364.512    632.756 -1815946.280  95954.312 -1815633.066 
    500.00    359.120    367.434    636.434 -1815949.453  97784.192 -1815631.236 
    505.00    362.011    370.326    640.104 -1815952.644  99628.605 -1815629.392 
    510.00    364.872    373.187    643.767 -1815955.854 101487.398 -1815627.533 
    515.00    367.703    376.017    647.422 -1815959.082 103360.421 -1815625.660 
    520.00    370.504    378.818    651.068 -1815962.328 105247.521 -1815623.773 
    525.00    373.274    381.589    654.707 -1815965.593 107148.551 -1815621.872 
