      T          Cv          Cp        S         G(T)      H(T)-H(0)    H(T)
    100.00     83.858     92.172    342.501 -1815743.709   6675.976 -1815709.458 
    105.00     86.387     94.701    347.059 -1815745.433   7143.135 -1815708.991 
    110.00     88.974     97.288    351.524 -1815747.179   7623.084 -1815708.511 
    115.00     91.619     99.933    355.907 -1815748.948   8116.114 -1815708.018 
    120.00     94.322    102.637    360.217 -1815750.738   8622.515 -1815707.512 
    125.00     97.083    105.397    364.462 -1815752.550   9142.576 -1815706.992 
    130.00     99.901    108.215    368.651 -1815754.382   9676.585 -1815706.458 
    135.00    102.775    111.090    372.789 -1815756.236  10224.825 -1815705.910 
    140.00    105.706    114.020    376.882 -1815758.110  10787.576 -1815705.347 
    145.00    108.691    117.005    380.935 -1815760.005  11365.117 -1815704.769 
    150.00    111.730    120.045    384.952 -1815761.920  11957.719 -1815704.177 
    155.00    114.823    123.137    388.939 -1815763.854  12565.652 -1815703.569 
    160.00    117.968    126.282    392.898 -1815765.809  13189.178 -1815702.945 
    165.00    121.164    129.478    396.832 -1815767.783  13828.558 -1815702.306 
    170.00    124.411    132.725    400.746 -1815769.777  14484.046 -1815701.650 
    175.00    127.706    136.021    404.641 -1815771.791  15155.890 -1815700.979 
    180.00    131.050    139.364    408.519 -1815773.824  15844.333 -1815700.290 
    185.00    134.440    142.755    412.384 -1815775.876  16549.611 -1815699.585 
    190.00    137.875    146.190    416.236 -1815777.947  17271.954 -1815698.862 
    195.00    141.354    149.669    420.079 -1815780.038  18011.583 -1815698.123 
    200.00    144.875    153.189    423.912 -1815782.148  18768.712 -1815697.366 
    205.00    148.436    156.750    427.739 -1815784.277  19543.545 -1815696.591 
    210.00    152.035    160.349    431.559 -1815786.426  20336.278 -1815695.798 
    215.00    155.670    163.984    435.375 -1815788.593  21147.097 -1815694.987 
    220.00    159.339    167.654    439.186 -1815790.779  21976.179 -1815694.158 
    225.00    163.041    171.355    442.995 -1815792.985  22823.688 -1815693.311 
