<-10_90.xyz>
      1          6           0       -0.276805    4.509963    0.183623
      2          6           0       -1.178667    3.776606   -0.579934
      3          6           0        0.616290    3.847561    1.019216
      4          1           0        1.322456    4.411189    1.614063
      5          6           0       -1.191353    2.388476   -0.512011
      6          6           0        0.610059    2.459950    1.095855
      7          1           0       -1.890953    1.809656   -1.098911
      8          1           0        1.296718    1.936599    1.746759
      9          6           0       -0.288330    1.734679    0.319905
     10          7           0       -0.347428    0.312238    0.452552
     11          7           0        0.348769   -0.306486   -0.365532
     12          6           0        0.970340   -3.812158   -1.266774
     13          6           0        0.941660   -2.423046   -1.282591
     14          6           0        0.316043   -1.727809   -0.250379
     15          6           0       -0.266672   -2.420637    0.814846
     16          6           0       -0.226850   -3.804957    0.828613
     17          6           0        0.387149   -4.503502   -0.211623
     18          1           0        1.450364   -4.351826   -2.071512
     19          1           0        1.394586   -1.858530   -2.085819
     20          1           0       -0.672275   -4.347081    1.651951
     21          1           0       -0.737420   -1.865060    1.612363
     22          1           0       -1.875058    4.284776   -1.233393
     23          1           0       -0.271250    5.589884    0.129490
     24          1           0        0.413671   -5.584722   -0.192619
</-10_90.xyz>

<-20_90.xyz>
      1          6           0       -0.273293    4.508247    0.194734
      2          6           0       -1.113218    3.787495   -0.647458
      3          6           0        0.546153    3.832799    1.092967
      4          1           0        1.204037    4.386665    1.749162
      5          6           0       -1.137371    2.398848   -0.595652
      6          6           0        0.527968    2.444482    1.153793
      7          1           0       -1.789570    1.829578   -1.243313
      8          1           0        1.157640    1.910994    1.852373
      9          6           0       -0.307646    1.732160    0.299788
     10          7           0       -0.383230    0.308194    0.411359
     11          7           0        0.374724   -0.304879   -0.354148
     12          6           0        0.877493   -3.816870   -1.310287
     13          6           0        0.866537   -2.427855   -1.325225
     14          6           0        0.330267   -1.725912   -0.248100
     15          6           0       -0.160854   -2.410527    0.866520
     16          6           0       -0.131425   -3.795683    0.881645
     17          6           0        0.380251   -4.501393   -0.207087
     18          1           0        1.281899   -4.362602   -2.151676
     19          1           0        1.262147   -1.869905   -2.162606
     20          1           0       -0.503496   -4.331537    1.744521
     21          1           0       -0.552814   -1.848445    1.701366
