<-10_90.xyz>
  C    -0.276805    4.509963    0.183623
  C    -1.178667    3.776606   -0.579934
  C     0.616290    3.847561    1.019216
  H     1.322456    4.411189    1.614063
  C    -1.191353    2.388476   -0.512011
  C     0.610059    2.459950    1.095855
  H    -1.890953    1.809656   -1.098911
  H     1.296718    1.936599    1.746759
  C    -0.288330    1.734679    0.319905
  N    -0.347428    0.312238    0.452552
  N     0.348769   -0.306486   -0.365532
  C     0.970340   -3.812158   -1.266774
  C     0.941660   -2.423046   -1.282591
  C     0.316043   -1.727809   -0.250379
  C    -0.266672   -2.420637    0.814846
  C    -0.226850   -3.804957    0.828613
  C     0.387149   -4.503502   -0.211623
  H     1.450364   -4.351826   -2.071512
  H     1.394586   -1.858530   -2.085819
  H    -0.672275   -4.347081    1.651951
  H    -0.737420   -1.865060    1.612363
  H    -1.875058    4.284776   -1.233393
  H    -0.271250    5.589884    0.129490
  H     0.413671   -5.584722   -0.192619
</-10_90.xyz>

<-20_90.xyz>
  C    -0.273293    4.508247    0.194734
  C    -1.113218    3.787495   -0.647458
  C     0.546153    3.832799    1.092967
  H     1.204037    4.386665    1.749162
  C    -1.137371    2.398848   -0.595652
  C     0.527968    2.444482    1.153793
  H    -1.789570    1.829578   -1.243313
  H     1.157640    1.910994    1.852373
  C    -0.307646    1.732160    0.299788
  N    -0.383230    0.308194    0.411359
  N     0.374724   -0.304879   -0.354148
  C     0.877493   -3.816870   -1.310287
  C     0.866537   -2.427855   -1.325225
  C     0.330267   -1.725912   -0.248100
  C    -0.160854   -2.410527    0.866520
  C    -0.131425   -3.795683    0.881645
  C     0.380251   -4.501393   -0.207087
  H     1.281899   -4.362602   -2.151676
  H     1.262147   -1.869905   -2.162606
  H    -0.503496   -4.331537    1.744521
  H    -0.552814   -1.848445    1.701366
  H    -1.752009    4.306005   -1.349794
  H    -0.258793    5.588626    0.152832
  H     0.399649   -5.582720   -0.187577
</-20_90.xyz>

<-30_90.xyz>
  C    -0.271270    4.506201    0.207957
  C    -1.043408    3.798764   -0.707243
  C     0.470949    3.817131    1.161259
  H     1.075993    4.360632    1.874468
  C    -1.076669    2.409758   -0.673592
  C     0.443001    2.428291    1.204359
  H    -1.676989    1.850680   -1.377810
  H     1.012820    1.884293    1.944975
  C    -0.323895    1.729711    0.277830
  N    -0.413568    0.304214    0.366302
  N     0.400961   -0.303314   -0.342836
  C     0.782195   -3.821404   -1.343149
  C     0.786617   -2.432864   -1.361996
  C     0.341984   -1.724121   -0.248117
  C    -0.054093   -2.399869    0.907612
  C    -0.033470   -3.786007    0.927103
  C     0.374741   -4.498980   -0.198712
  H     1.109213   -4.373412   -2.213614
  H     1.121592   -1.882547   -2.230327
  H    -0.331025   -4.315028    1.822455
  H    -0.367031   -1.830964    1.770928
  H    -1.621886    4.328005   -1.452507
  H    -0.249580    5.586897    0.179812
  H     0.387864   -5.580302   -0.177020
</-30_90.xyz>

<-40_90.xyz>
  C    -0.269330    4.504583    0.220370
  C    -0.968673    3.810542   -0.761195
  C     0.391864    3.802145    1.222303
  H     0.940053    4.335288    1.987382
  C    -1.009685    2.421418   -0.745573
  C     0.355307    2.413067    1.247884
  H    -1.554183    1.872591   -1.501335
  H     0.862029    1.858706    2.025743
  C    -0.337697    1.728357    0.255396
  N    -0.439993    0.301546    0.321031
  N     0.425528   -0.302042   -0.327278
  C     0.685521   -3.824217   -1.366472
  C     0.700518   -2.436248   -1.390293
  C     0.349904   -1.723146   -0.246091
  C     0.052309   -2.392329    0.940966
  C     0.067179   -3.779509    0.964241
  C     0.372388   -4.497399   -0.189360
  H     0.934080   -4.380472   -2.259922
  H     0.969996   -1.892282   -2.285040
  H    -0.155005   -4.303294    1.884172
  H    -0.182742   -1.818641    1.825823
  H    -1.483913    4.350366   -1.544284
  H    -0.241432    5.585396    0.205865
  H     0.381024   -5.578662   -0.166196
</-40_90.xyz>

<-50_90.xyz>
  C    -0.267257    4.503973    0.228511
  C    -0.888728    3.821212   -0.811580
  C     0.308887    3.790558    1.274249
  H     0.796144    4.315030    2.085151
  C    -0.936344    2.432197   -0.810969
  C     0.264779    2.401509    1.285295
  H    -1.421035    1.892002   -1.612298
  H     0.705012    1.838634    2.096775
  C    -0.349055    1.728565    0.234637
  N    -0.462463    0.300751    0.279999
  N     0.448770   -0.301065   -0.301980
  C     0.587152   -3.823013   -1.382069
  C     0.608484   -2.435365   -1.406888
  C     0.356116   -1.723303   -0.236759
  C     0.159348   -2.391501    0.969968
  C     0.170024   -3.779770    0.991719
  C     0.372234   -4.497390   -0.183226
  H     0.755580   -4.379031   -2.294226
  H     0.806904   -1.893826   -2.321484
  H     0.023298   -4.302480    1.927228
  H     0.001630   -1.817698    1.872000
  H    -1.337620    4.369703   -1.628720
  H    -0.233961    5.584716    0.225351
  H     0.377149   -5.578646   -0.162548
</-50_90.xyz>

<-60_90.xyz>
  C    -0.265823    4.504404    0.231172
  C    -0.803851    3.829506   -0.859320
  C     0.221208    3.783549    1.316371
  H     0.643122    4.302035    2.166765
  C    -0.856451    2.440698   -0.869938
  C     0.171049    2.394673    1.316633
  H    -1.276888    1.906501   -1.710611
  H     0.541454    1.825925    2.158317
  C    -0.357993    1.730079    0.216015
  N    -0.480232    0.301490    0.244461
  N     0.471900   -0.300194   -0.264881
  C     0.486444   -3.816344   -1.390728
  C     0.511580   -2.428594   -1.409752
  C     0.364146   -1.724430   -0.217766
  C     0.269100   -2.398748    0.996230
  C     0.274401   -3.788030    1.008807
  C     0.372429   -4.498844   -0.182502
